"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9570E-004,8.3359E-004,1.0647E-003,1.1729E-003,1.1674E-003,1.0997E-003
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9109E-004,8.0842E-004,1.0232E-003,1.1227E-003,1.1145E-003,1.0494E-003
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2128E-004,2.1628E-004,2.7314E-004,2.9544E-004,2.8849E-004,2.7542E-004
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6901E-004,5.7786E-004,7.2326E-004,7.9759E-004,8.0469E-004,7.6932E-004
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4232E-004,2.2932E-004,2.8399E-004,3.0982E-004,3.0964E-004,2.9352E-004
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7390E-004,2.9121E-004,3.8085E-004,4.3972E-004,4.6852E-004,4.5292E-004
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3982E-004,4.9975E-004,6.3505E-004,7.2311E-004,7.4344E-004,7.0258E-004
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1119E-005,9.6532E-005,1.2168E-004,1.3575E-004,1.3387E-004,1.3262E-004
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7875E-004,2.8875E-004,3.6461E-004,3.9604E-004,3.7961E-004,3.5812E-004
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0594E-005,3.3074E-005,3.2029E-005,3.1865E-005,3.2079E-005,2.9883E-005
