"",0.300
204.5833,-1.0122E+002
204.5903,-1.1340E+002
204.5972,-1.5303E+002
204.6042,-1.0673E+002
204.6111,-9.5393E+001
204.6181,-7.3503E+001
204.6250,-1.1679E+002
204.6319,-1.1873E+002
204.6389,-1.4596E+002
204.6458,-1.1159E+002
204.6528,-5.4771E+001
204.6597,-1.0653E+002
204.6667,-9.1747E+001
204.6736,-1.2106E+002
204.6806,-1.4103E+002
204.6875,-1.5386E+002
204.6944,-8.7151E+001
204.7014,-1.0198E+002
204.7083,-1.3436E+002
204.7153,-1.5386E+002
204.7222,-1.1238E+002
204.7292,-5.5099E+001
204.7361,-6.4569E+001
204.7431,-1.1520E+002
204.7500,-9.2984E+001
204.7569,-6.6570E+001
204.7639,-1.2546E+002
204.7708,-7.8788E+001
204.7778,-5.1531E+001
204.7847,-1.6656E+001
204.7917,-3.8498E+001
204.7986,-3.4809E+001
204.8056,-4.1900E+001
204.8125,-4.4888E+001
204.8194,-4.2276E+001
204.8264,-4.9178E+001
204.8333,-4.7088E+001
204.8403,-4.6642E+001
204.8472,-5.0252E+001
204.8542,-5.3105E+001
204.8611,-5.3502E+001
204.8681,-6.0832E+001
204.8750,-7.6939E+001
204.8819,-7.2272E+001
204.8889,-7.2341E+001
204.8958,-7.4385E+001
204.9028,-8.1695E+001
204.9097,-6.8345E+001
204.9167,-7.5217E+001
204.9236,-6.0549E+001
204.9306,-8.5655E+001
204.9375,-7.1068E+001
204.9444,-7.1119E+001
204.9514,-7.2879E+001
204.9583,-6.7235E+001
204.9653,-6.5731E+001
204.9722,-7.8599E+001
204.9792,-7.2048E+001
204.9861,-6.1545E+001
204.9931,-7.5214E+001
205.0000,-6.9700E+001
205.0069,-7.4015E+001
205.0139,-7.9323E+001
205.0208,-8.0428E+001
205.0278,-8.0751E+001
205.0347,-6.0155E+001
205.0417,-5.9229E+001
205.0486,-6.1326E+001
205.0556,-6.0396E+001
205.0625,-7.9761E+001
205.0694,-6.0410E+001
205.0764,-6.1386E+001
205.0833,-6.7935E+001
205.0903,-5.7562E+001
205.0972,-5.7761E+001
205.1042,-5.9047E+001
205.1111,-6.9294E+001
205.1181,-6.2677E+001
205.1250,-5.6655E+001
205.1319,-6.1514E+001
205.1389,-6.1293E+001
205.1458,-6.1282E+001
205.1528,-5.0484E+001
205.1597,-4.9805E+001
205.1667,-6.0844E+001
205.1736,-6.1128E+001
205.1806,-4.8767E+001
205.1875,-4.8068E+001
205.1944,-4.8704E+001
205.2014,-4.7452E+001
205.2083,-4.6697E+001
205.2153,-4.5829E+001
205.2222,-4.5087E+001
205.2292,-4.4115E+001
205.2361,-4.3272E+001
205.2431,-4.2419E+001
205.2500,-4.1359E+001
205.2569,-4.0828E+001
205.2639,-3.9384E+001
205.2708,-3.7766E+001
205.2778,-3.6371E+001
205.2847,-3.4791E+001
205.2917,-3.2382E+001
205.2986,-3.0858E+001
205.3056,-2.8022E+001
205.3125,-2.6210E+001
205.3194,-2.2855E+001
205.3264,-2.1767E+001
205.3333,-1.9627E+001
205.3403,-1.8794E+001
205.3472,-1.6839E+001
205.3542,-1.3550E+001
205.3611,-6.0672E+000
205.3681,-0.0000E+000
205.3750,-0.0000E+000
205.3819,-0.0000E+000
205.3889,-0.0000E+000
205.3958,-0.0000E+000
205.4028,-0.0000E+000
205.4097,-1.6736E-009
205.4167,-5.4673E+001
205.4236,-5.7606E+001
205.4306,-4.3606E+001
205.4375,-2.6475E+001
205.4444,-2.7796E+001
205.4514,-4.6106E+001
205.4583,-3.6697E+001
205.4653,-5.4991E+001
205.4722,-5.2023E+001
205.4792,-5.3491E+001
205.4861,-6.0529E+001
205.4931,-4.7393E+001
205.5000,-5.2581E+001
205.5069,-4.6812E+000
205.5139,-1.7589E+001
205.5208,-3.0455E+001
205.5278,-4.2086E+001
205.5347,-3.2144E+001
205.5417,-1.7015E+001
205.5486,-7.1950E+001
205.5556,-1.3636E+002
205.5625,-1.5236E+002
205.5694,-1.2679E+002
205.5764,-1.5368E+002
205.5833,-1.5117E+002
205.5903,-1.9255E+002
205.5972,-1.9229E+002
205.6042,-1.7940E+002
205.6111,-1.1866E+002
205.6181,-1.8780E+002
205.6250,-2.0074E+002
205.6319,-1.2467E+002
205.6389,-2.0845E+002
205.6458,-1.6244E+002
205.6528,-1.3532E+002
205.6597,-1.0669E+002
205.6667,-1.9009E+002
205.6736,-9.6939E+001
205.6806,-1.9424E+002
205.6875,-3.4574E+001
205.6944,-7.1867E+001
205.7014,-1.4447E+002
205.7083,-1.0182E+002
205.7153,-1.1576E+002
205.7222,-6.1898E+001
205.7292,-2.0025E+002
205.7361,-1.6338E+002
205.7431,-1.6903E+002
205.7500,-2.3141E+002
205.7569,-1.2866E+002
205.7639,-5.8611E+001
205.7708,-4.2300E+001
205.7778,-4.8172E+001
205.7847,-4.6220E+001
205.7917,-3.0753E+001
205.7986,-2.6437E+001
205.8056,-2.5861E+001
205.8125,-3.5094E+001
205.8194,-5.1838E+001
205.8264,-3.4029E+001
205.8333,-4.0273E+001
205.8403,-5.2021E+001
205.8472,-4.9936E+001
205.8542,-5.1206E+001
205.8611,-8.0597E+001
205.8681,-6.7122E+001
205.8750,-7.4814E+001
205.8819,-6.8799E+001
205.8889,-6.0443E+001
205.8958,-7.4240E+001
205.9028,-8.5962E+001
205.9097,-7.6313E+001
205.9167,-7.5663E+001
205.9236,-6.5339E+001
205.9306,-7.7259E+001
205.9375,-6.7429E+001
205.9444,-6.6276E+001
205.9514,-7.7734E+001
205.9583,-5.8152E+001
205.9653,-5.1811E+001
205.9722,-5.3283E+001
205.9792,-6.9161E+001
205.9861,-7.4967E+001
205.9931,-6.6718E+001
206.0000,-6.3452E+001
206.0069,-6.0352E+001
206.0139,-5.2270E+001
206.0208,-5.1347E+001
206.0278,-5.9647E+001
206.0347,-5.3709E+001
206.0417,-5.3637E+001
206.0486,-5.2338E+001
206.0556,-5.5215E+001
206.0625,-4.8923E+001
206.0694,-5.4478E+001
206.0764,-5.1486E+001
206.0833,-5.0683E+001
206.0903,-5.0335E+001
206.0972,-5.4589E+001
206.1042,-6.4392E+001
206.1111,-5.1413E+001
206.1181,-6.0400E+001
206.1250,-5.1665E+001
206.1319,-6.9215E+001
206.1389,-6.8208E+001
206.1458,-6.0778E+001
206.1528,-5.8130E+001
206.1597,-5.0094E+001
206.1667,-5.0255E+001
206.1736,-5.0989E+001
206.1806,-5.0529E+001
206.1875,-5.0377E+001
206.1944,-5.0174E+001
206.2014,-5.1689E+001
206.2083,-5.1835E+001
206.2153,-5.9503E+001
206.2222,-5.1166E+001
206.2292,-4.9548E+001
206.2361,-4.9816E+001
206.2431,-4.9261E+001
206.2500,-4.8892E+001
206.2569,-4.9497E+001
206.2639,-5.0485E+001
206.2708,-4.7265E+001
206.2778,-4.6398E+001
206.2847,-4.4467E+001
206.2917,-4.7215E+001
206.2986,-3.8681E+001
206.3056,-3.5840E+001
206.3125,-3.1834E+001
206.3194,-3.0319E+001
206.3264,-2.7910E+001
206.3333,-2.4454E+001
206.3403,-2.2801E+001
206.3472,-2.1051E+001
206.3542,-1.8485E+001
206.3611,-1.5145E+001
206.3681,-1.2122E+001
206.3750,-9.9762E+000
206.3819,-5.6753E+000
206.3889,-0.0000E+000
206.3958,-1.4034E+000
206.4028,-4.0850E+001
206.4097,-6.9998E+001
206.4167,-4.0456E+001
206.4236,-3.3224E+001
206.4306,-4.7989E+001
206.4375,-5.1066E+001
206.4444,-5.3697E+001
206.4514,-7.8374E+001
206.4583,-8.5833E+001
206.4653,-1.0222E+002
206.4722,-8.4951E+001
206.4792,-4.7053E+001
206.4861,-4.7405E+001
206.4931,-2.8334E+001
206.5000,-1.0067E+001
206.5069,-1.5853E+001
206.5139,-3.0247E+001
206.5208,-7.3480E+001
206.5278,-5.7181E+001
206.5347,-1.4934E+002
206.5417,-1.6301E+002
206.5486,-1.2935E+002
206.5556,-8.9537E+001
206.5625,-1.6651E+002
206.5694,-5.5870E+001
206.5764,-1.3777E+002
206.5833,-1.2642E+002
206.5903,-1.1870E+002
206.5972,-1.5217E+002
206.6042,-1.2061E+002
206.6111,-1.1731E+002
206.6181,-1.2313E+002
206.6250,-7.5036E+001
206.6319,-6.5777E+001
206.6389,-1.8439E+002
206.6458,-1.2078E+002
206.6528,-1.1336E+002
206.6597,-1.2300E+002
206.6667,-1.1448E+002
206.6736,-6.2404E+001
206.6806,-5.2576E+001
206.6875,-1.4588E+002
206.6944,-1.2454E+002
206.7014,-7.7097E+001
206.7083,-1.1172E+002
206.7153,-1.3117E+002
206.7222,-7.4871E+001
206.7292,-4.1137E+001
206.7361,-1.1696E+002
206.7431,-1.0856E+002
206.7500,-9.8588E+001
206.7569,-3.6836E+001
206.7639,-5.5608E+001
206.7708,-6.9619E+001
206.7778,-3.9215E+001
206.7847,-2.9038E+001
206.7917,-3.0419E+001
206.7986,-3.2449E+001
206.8056,-3.1372E+001
206.8125,-3.2715E+001
206.8194,-3.2940E+001
206.8264,-3.6357E+001
206.8333,-3.8169E+001
206.8403,-4.0504E+001
206.8472,-4.5056E+001
206.8542,-4.3225E+001
206.8611,-4.5275E+001
206.8681,-4.7736E+001
206.8750,-5.0031E+001
206.8819,-5.2439E+001
206.8889,-5.5979E+001
206.8958,-5.4709E+001
206.9028,-5.5332E+001
206.9097,-5.6379E+001
206.9167,-5.5400E+001
206.9236,-5.4783E+001
206.9306,-5.6271E+001
206.9375,-5.5782E+001
206.9444,-5.6356E+001
206.9514,-5.4140E+001
206.9583,-5.1263E+001
206.9653,-5.0088E+001
206.9722,-4.6918E+001
206.9792,-4.4096E+001
206.9861,-4.2824E+001
206.9931,-4.3628E+001
207.0000,-4.2778E+001
207.0069,-4.1221E+001
207.0139,-4.2633E+001
207.0208,-4.5311E+001
207.0278,-4.7878E+001
207.0347,-4.8629E+001
207.0417,-4.9289E+001
207.0486,-4.9780E+001
207.0556,-4.9828E+001
207.0625,-4.6893E+001
207.0694,-4.3913E+001
207.0764,-4.1560E+001
207.0833,-3.9183E+001
207.0903,-3.7051E+001
207.0972,-3.4924E+001
207.1042,-3.3204E+001
207.1111,-3.2079E+001
207.1181,-3.2274E+001
207.1250,-3.4128E+001
207.1319,-3.5653E+001
207.1389,-3.5983E+001
207.1458,-3.6598E+001
207.1528,-3.7176E+001
207.1597,-3.6989E+001
207.1667,-3.5195E+001
207.1736,-3.2814E+001
207.1806,-3.0777E+001
207.1875,-2.8028E+001
207.1944,-2.6032E+001
207.2014,-2.4907E+001
207.2083,-2.3999E+001
207.2153,-2.3277E+001
207.2222,-2.2965E+001
207.2292,-2.3703E+001
207.2361,-2.2056E+001
207.2431,-2.1751E+001
207.2500,-2.0868E+001
207.2569,-2.0411E+001
207.2639,-2.1962E+001
207.2708,-2.1266E+001
207.2778,-2.1251E+001
207.2847,-2.0275E+001
207.2917,-1.7811E+001
207.2986,-1.6561E+001
207.3056,-1.4560E+001
207.3125,-1.3672E+001
207.3194,-1.2877E+001
207.3264,-1.2098E+001
207.3333,-1.1069E+001
207.3403,-1.0054E+001
207.3472,-1.0110E+001
207.3542,-2.0175E+001
207.3611,-1.6781E+001
207.3681,-4.8090E+001
207.3750,-6.0230E+001
207.3819,-3.2169E+001
207.3889,-2.8014E+001
207.3958,-5.0207E+001
207.4028,-6.4548E+001
207.4097,-8.4883E+001
207.4167,-6.2971E+001
207.4236,-5.0654E+001
207.4306,-7.0415E+001
207.4375,-9.3522E+001
207.4444,-1.1405E+002
207.4514,-9.1202E+001
207.4583,-6.7240E+001
207.4653,-3.0025E+001
207.4722,-2.3331E+001
207.4792,-6.3148E+001
207.4861,-2.8370E+001
207.4931,-2.0221E+001
207.5000,-3.4920E+001
207.5069,-3.9147E+001
207.5139,-3.0944E+001
207.5208,-5.3717E+001
207.5278,-5.2041E+001
207.5347,-5.2707E+001
207.5417,-4.4897E+001
207.5486,-9.4433E+001
207.5556,-1.2291E+002
207.5625,-6.7310E+001
207.5694,-5.4859E+001
207.5764,-2.9896E+001
207.5833,-2.9668E+001
207.5903,-3.3416E+001
207.5972,-3.7369E+001
207.6042,-2.2021E+001
207.6111,-2.7338E+001
207.6181,-3.6695E+001
207.6250,-5.8387E+001
207.6319,-5.6220E+001
207.6389,-5.7964E+001
207.6458,-4.6637E+001
207.6528,-5.7580E+001
207.6597,-6.3571E+001
207.6667,-6.2539E+001
207.6736,-6.7676E+001
207.6806,-6.0597E+001
207.6875,-6.4300E+001
207.6944,-5.4226E+001
207.7014,-7.1327E+001
207.7083,-7.3794E+001
207.7153,-8.7307E+001
207.7222,-8.9692E+001
207.7292,-1.3161E+002
207.7361,-8.9282E+001
207.7431,-1.2452E+002
207.7500,-8.3631E+001
207.7569,-1.0212E+002
207.7639,-1.2060E+002
207.7708,-8.2678E+001
207.7778,-6.4432E+001
207.7847,-8.3284E+001
207.7917,-6.6971E+001
207.7986,-7.9536E+001
207.8056,-6.9174E+001
207.8125,-6.2161E+001
207.8194,-5.9106E+001
207.8264,-6.1516E+001
207.8333,-6.2789E+001
207.8403,-7.7596E+001
207.8472,-6.8552E+001
207.8542,-6.8043E+001
207.8611,-6.9760E+001
207.8681,-8.3096E+001
207.8750,-8.9937E+001
207.8819,-7.5127E+001
207.8889,-7.3327E+001
207.8958,-9.1449E+001
207.9028,-7.8251E+001
207.9097,-7.2802E+001
207.9167,-7.3863E+001
207.9236,-7.7052E+001
207.9306,-7.4723E+001
207.9375,-7.8069E+001
207.9444,-7.4747E+001
207.9514,-7.4161E+001
207.9583,-7.6270E+001
207.9653,-7.3627E+001
207.9722,-7.3626E+001
207.9792,-8.8185E+001
207.9861,-7.1416E+001
207.9931,-7.1246E+001
208.0000,-7.1496E+001
208.0069,-6.8268E+001
208.0139,-6.8218E+001
