"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5006E-004,1.4637E-004,1.4329E-004,1.4072E-004,1.3886E-004,1.3886E-004
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4834E-004,1.4501E-004,1.4223E-004,1.3979E-004,1.3791E-004,1.3791E-004
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0992E-005,4.2173E-005,4.2761E-005,4.2767E-005,4.2453E-005,4.2453E-005
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3429E-005,5.1160E-005,4.9551E-005,4.8482E-005,4.7884E-005,4.7884E-005
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1406E-005,2.1940E-005,2.2366E-005,2.2610E-005,2.2707E-005,2.2707E-005
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8849E-005,1.9651E-005,2.0241E-005,2.0667E-005,2.0945E-005,2.0945E-005
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3106E-004,1.1988E-004,1.0937E-004,1.0149E-004,9.6988E-005,9.6988E-005
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1504E-004,1.0437E-004,9.3553E-005,8.3578E-005,7.5690E-005,7.5690E-005
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7148E-005,8.1284E-005,7.5441E-005,7.0251E-005,6.6437E-005,6.6437E-005
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4011E-004,1.1940E-004,1.1497E-004,1.2440E-004,1.4672E-004,1.4672E-004
204.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0401E-004,6.6096E-004,5.6221E-004,5.0072E-004,4.6809E-004,4.6809E-004
204.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2940E-004,1.1758E-004,1.0803E-004,1.0089E-004,9.6259E-005,9.6259E-005
204.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1983E-004,1.2063E-004,1.2511E-004,1.3136E-004,1.3772E-004,1.3772E-004
204.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0474E-004,8.6193E-005,7.2156E-005,6.2588E-005,5.7058E-005,5.7058E-005
204.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0819E-004,1.1134E-004,1.1804E-004,1.2674E-004,1.3525E-004,1.3525E-004
204.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0484E-004,8.2254E-005,6.9771E-005,6.1622E-005,5.6854E-005,5.6854E-005
204.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0124E-005,1.8581E-005,1.7666E-005,1.7140E-005,1.6873E-005,1.6873E-005
204.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8664E-005,1.9106E-005,1.9379E-005,1.9439E-005,1.9367E-005,1.9367E-005
