"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1181E-006,4.5745E-006,2.9323E-006,2.2093E-006,1.8979E-006,0.0000E+000
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5164E-006,4.6667E-006,2.9741E-006,2.2445E-006,1.9390E-006,0.0000E+000
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4821E-006,5.9622E-007,3.2366E-007,2.0471E-007,1.4128E-007,0.0000E+000
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7517E-006,7.4528E-007,3.9781E-007,2.4080E-007,1.5414E-007,0.0000E+000
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1992E-007,2.0507E-007,1.1957E-007,8.5534E-008,6.8501E-008,0.0000E+000
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6580E-007,1.4624E-007,1.1772E-007,1.1883E-007,1.4190E-007,0.0000E+000
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0727E-006,3.5367E-006,2.4827E-006,1.9746E-006,1.7039E-006,0.0000E+000
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6302E-005,8.4211E-006,5.4811E-006,4.1293E-006,3.5274E-006,-2.0680E-025
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9979E-006,3.7321E-006,2.4994E-006,1.9544E-006,1.7549E-006,0.0000E+000
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3323E-005,5.7653E-005,5.1030E-005,5.3904E-005,6.5262E-005,0.0000E+000
204.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0204E-004,8.4545E-005,4.4455E-005,2.7105E-005,1.8534E-005,0.0000E+000
204.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7266E-005,8.3783E-006,5.0521E-006,3.4754E-006,2.6586E-006,0.0000E+000
204.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7858E-005,9.3864E-006,7.1960E-006,6.8346E-006,7.7607E-006,0.0000E+000
204.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1746E-005,4.8615E-006,2.6859E-006,1.7851E-006,1.3622E-006,0.0000E+000
204.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4220E-005,7.6662E-006,5.8884E-006,5.6738E-006,6.6449E-006,0.0000E+000
204.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0366E-006,3.8598E-006,2.2530E-006,1.5123E-006,1.1275E-006,0.0000E+000
