"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9605E-004,6.6500E-004,8.4892E-004,9.3496E-004,9.3051E-004,1.7450E-003
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9238E-004,6.4498E-004,8.1593E-004,8.9504E-004,8.8848E-004,1.7247E-003
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7924E-005,1.7351E-004,2.1870E-004,2.3640E-004,2.3083E-004,5.2396E-004
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9495E-004,4.6057E-004,5.7544E-004,6.3377E-004,6.3884E-004,6.2465E-004
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1459E-004,1.8360E-004,2.2682E-004,2.4711E-004,2.4677E-004,4.7531E-004
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3963E-004,2.3237E-004,3.0285E-004,3.4885E-004,3.7113E-004,6.3094E-004
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7194E-004,3.9927E-004,5.0700E-004,5.7711E-004,5.9329E-004,1.6795E-003
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0044E-005,7.8241E-005,9.8267E-005,1.0947E-004,1.0797E-004,1.5359E-003
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4371E-004,2.3133E-004,2.9177E-004,3.1683E-004,3.0375E-004,1.3496E-003
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5740E-005,2.7715E-005,2.6882E-005,2.6752E-005,2.6922E-005,2.9800E-003
204.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5404E-004,7.3585E-004,9.1566E-004,9.7464E-004,9.1697E-004,3.9633E-003
204.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7695E-004,2.8706E-004,3.6777E-004,4.0484E-004,3.9082E-004,1.6577E-003
204.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1612E-005,1.9354E-004,3.3074E-004,4.1808E-004,4.1524E-004,1.7689E-003
204.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7415E-004,2.6666E-004,3.1177E-004,3.1067E-004,2.7776E-004,1.2050E-003
204.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5665E-004,3.3357E-004,5.1176E-004,6.3938E-004,6.8044E-004,1.7659E-003
204.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8272E-004,1.8743E-004,2.0055E-004,1.9821E-004,1.7437E-004,1.0563E-003
204.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2003E-005,4.2661E-005,5.5340E-005,5.9217E-005,5.4873E-005,5.8427E-004
204.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7715E-005,1.4185E-004,1.8707E-004,2.0894E-004,2.0837E-004,3.7662E-004
204.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7719E-004,4.2034E-004,5.4108E-004,6.2697E-004,6.7533E-004,7.5134E-004
204.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3504E-004,2.3306E-004,3.0555E-004,3.4276E-004,3.4517E-004,7.1037E-004
204.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1058E-004,2.0138E-004,2.6620E-004,2.9725E-004,2.9578E-004,6.0906E-004
205.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3965E-004,2.3919E-004,3.1020E-004,3.4536E-004,3.4568E-004,6.4406E-004
205.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3995E-005,1.3785E-004,1.9070E-004,2.1594E-004,2.1621E-004,3.4530E-004
205.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5236E-005,1.0739E-004,1.4831E-004,1.6969E-004,1.7083E-004,6.5721E-004
205.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4101E-005,1.4427E-004,1.9454E-004,2.2427E-004,2.3061E-004,4.7205E-004
205.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7582E-005,1.4767E-004,2.1229E-004,2.5336E-004,2.7195E-004,6.9943E-004
