"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
204.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1324E-008,2.2386E-008,3.2493E-008,4.1454E-008,4.9258E-008,0.0000E+000
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4678E-008,2.7529E-008,3.9285E-008,5.0253E-008,6.0521E-008,0.0000E+000
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1883E-008,2.2325E-008,3.1864E-008,4.0777E-008,4.9206E-008,3.2312E-027
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5142E-009,1.5628E-008,2.2292E-008,2.8895E-008,3.5876E-008,0.0000E+000
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3665E-008,4.1033E-008,5.9579E-008,8.0433E-008,1.0492E-007,0.0000E+000
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0061E-008,1.9164E-008,2.8696E-008,3.9581E-008,5.3728E-008,0.0000E+000
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4253E-009,1.0929E-008,1.5492E-008,1.8168E-008,1.9188E-008,1.6156E-027
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0085E-009,4.0106E-009,4.1956E-009,4.2221E-009,4.3134E-009,0.0000E+000
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.0425E-009,-5.3701E-009,-5.2060E-009,-4.6226E-009,-3.5899E-009,0.0000E+000
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2206E-008,-1.4673E-008,-1.5183E-008,-1.4786E-008,-1.3898E-008,0.0000E+000
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.7460E-010,-6.4575E-010,-6.4559E-010,-6.4114E-010,-6.3745E-010,0.0000E+000
204.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.4993E-008,-1.1343E-007,-1.8168E-007,-2.6004E-007,-3.3850E-007,0.0000E+000
204.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.6882E-008,-2.4570E-008,-3.1810E-008,-3.8549E-008,-4.4162E-008,0.0000E+000
204.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2724E-008,-2.2981E-008,-3.5187E-008,-4.9792E-008,-6.7586E-008,0.0000E+000
204.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9526E-008,-3.0833E-008,-4.5357E-008,-6.2300E-008,-8.2427E-008,-6.4623E-027
204.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.0227E-009,-7.2777E-009,-9.3648E-009,-1.1031E-008,-1.1782E-008,-8.0779E-028
204.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.3612E-009,6.9483E-010,7.1217E-009,1.3804E-008,2.2292E-008,0.0000E+000
204.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.5105E-010,-1.3366E-009,-1.8622E-009,-2.3242E-009,-2.7156E-009,-2.0195E-028
