"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.1875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8691E-007,4.4603E-007,3.3522E-007,2.6011E-007,2.4454E-007,2.6502E-007
203.1944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3031E-007,4.4053E-007,4.3057E-007,5.3772E-007,7.6336E-007,7.6758E-007
203.2014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9130E-006,1.4746E-006,1.1804E-006,1.0323E-006,1.0218E-006,1.0537E-006
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2007E-006,1.9577E-006,1.5331E-006,1.4311E-006,1.4257E-006,1.4964E-006
203.2153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7187E-006,2.0298E-006,1.4526E-006,1.2060E-006,1.1276E-006,1.2126E-006
203.2222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4371E-006,6.5730E-007,4.2585E-007,3.4659E-007,3.4986E-007,3.7028E-007
203.2292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2191E-006,8.4054E-007,8.4429E-007,1.0504E-006,1.4919E-006,1.4968E-006
203.2361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0712E-006,2.1588E-006,1.4135E-006,1.1336E-006,1.0933E-006,1.1555E-006
203.2431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3567E-006,2.3498E-006,1.5185E-006,1.2344E-006,1.1675E-006,1.2250E-006
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5486E-006,2.5108E-006,1.6888E-006,1.3178E-006,1.1964E-006,1.2498E-006
203.2569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2499E-006,2.3321E-006,1.6047E-006,1.3030E-006,1.2348E-006,1.2955E-006
203.2639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3825E-006,2.3706E-006,1.5840E-006,1.2555E-006,1.1767E-006,1.2424E-006
203.2708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4119E-006,2.4358E-006,1.6440E-006,1.3014E-006,1.2094E-006,1.2712E-006
203.2778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0854E-006,2.1765E-006,1.4374E-006,1.1260E-006,1.0496E-006,1.1146E-006
203.2847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9038E-006,2.1342E-006,1.4433E-006,1.1484E-006,1.0713E-006,1.1210E-006
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9285E-006,1.4628E-006,9.2175E-007,7.0183E-007,6.5802E-007,7.1464E-007
203.2986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0261E-006,1.7100E-006,1.2123E-006,1.0154E-006,9.7880E-007,1.0026E-006
203.3056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3225E-006,1.8405E-006,1.2548E-006,1.0142E-006,9.6256E-007,1.0188E-006
203.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4822E-006,1.9029E-006,1.2602E-006,9.8433E-007,9.0935E-007,9.6281E-007
203.3194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7189E-006,1.3745E-006,8.7163E-007,6.5922E-007,6.0692E-007,6.5220E-007
203.3264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8292E-006,1.5970E-006,1.1473E-006,9.8029E-007,9.6142E-007,9.8442E-007
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7914E-006,1.4946E-006,9.9709E-007,8.0186E-007,7.7011E-007,8.2788E-007
203.3403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1937E-006,1.0974E-006,6.7228E-007,4.9058E-007,4.4159E-007,4.7810E-007
203.3472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6249E-006,8.5586E-007,5.7671E-007,4.6156E-007,4.3450E-007,4.5002E-007
203.3542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4887E-006,7.8420E-007,5.1603E-007,4.0460E-007,3.7747E-007,3.9678E-007
203.3611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9172E-006,1.1133E-006,7.7455E-007,6.2533E-007,5.8026E-007,5.9826E-007
203.3681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0592E-006,1.1363E-006,7.7288E-007,6.2489E-007,5.9349E-007,6.3293E-007
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4503E-006,6.9078E-007,4.1219E-007,2.9728E-007,2.7123E-007,2.9962E-007
