time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2020-08-03 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.212890,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.063049,   -nan(ind),   -nan(ind),   -nan(ind),   87.447884,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-04 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.186278,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.063234,   -nan(ind),   -nan(ind),   -nan(ind),  147.878324,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-05 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.063425,   -nan(ind),   -nan(ind),   -nan(ind),  214.801773,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-06 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.063620,   -nan(ind),   -nan(ind),   -nan(ind),  209.466595,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-07 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.063820,   -nan(ind),   -nan(ind),   -nan(ind),  203.085718,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-08 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.064024,   -nan(ind),   -nan(ind),   -nan(ind),  199.385303,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-09 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.064234,   -nan(ind),   -nan(ind),   -nan(ind),  196.146517,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-10 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.064448,   -nan(ind),   -nan(ind),   -nan(ind),  150.727475,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-11 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.064667,   -nan(ind),   -nan(ind),   -nan(ind),  172.770652,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
2020-08-12 24:00:00,    7.227000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,         nan,    0.000000,    0.000000,    0.000000,    0.000000,   31.680000,    0.000000,    0.000000,    0.000000,    0.000000,    0.064890,   -nan(ind),   -nan(ind),   -nan(ind),  170.166189,         nan,   -nan(ind),   -nan(ind),    0.000000,    0.000000,    0.000000,   -nan(ind),    0.000000,-9999.000000,    0.000000,    0.001300,    0.001300,    0.000000
