Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       23  0.159722       17.7750       17.7750       17.7750      0.441817E-02  0.152299E-03  0.269600E-02  -161.783      -30.9485      -59.9154       0.00000       0.00000      -402.108      0.227700      0.500000      0.838060E-01   20.0805      -30.0404       0.00000       0.00000       0.00000       0.00000    
       24  0.166667       17.6924       17.6924       17.6924      0.134199E-01  0.462674E-03  0.270713E-02  -164.783      -32.5240      -60.8375       0.00000       0.00000      -401.651      0.227700      0.500000      0.857075E-01   20.0712      -30.3082       0.00000       0.00000       0.00000       0.00000    
       25  0.173611       17.6080       17.6080       17.6080      0.393916E-01  0.135832E-02  0.271421E-02  -167.107      -34.0564      -61.1541       0.00000       0.00000      -401.185      0.227700      0.500000      0.874959E-01   20.0624      -30.6321       0.00000       0.00000       0.00000       0.00000    
       26  0.180556       17.5224       17.5224       17.5224      0.442892E-01  0.152745E-02  0.269845E-02  -165.251      -33.5328      -60.3483       0.00000       0.00000      -400.713      0.227700      0.500000      0.891974E-01   20.0540      -30.9939       0.00000       0.00000       0.00000       0.00000    
       27  0.187500       17.4381       17.4381       17.4381      0.187881E-01  0.648074E-03  0.268030E-02  -162.952      -32.8045      -59.3988       0.00000       0.00000      -400.249      0.227700      0.500000      0.908912E-01   20.0457      -31.3285       0.00000       0.00000       0.00000       0.00000    
       28  0.194444       17.3556       17.3556       17.3556      0.556657E-01  0.192044E-02  0.268694E-02  -165.181      -34.1188      -59.9405       0.00000       0.00000      -399.794      0.227700      0.500000      0.925834E-01   20.0374      -31.6320       0.00000       0.00000       0.00000       0.00000    
       29  0.201389       17.2718       17.2718       17.2718      0.107218      0.369956E-02  0.285280E-02  -198.943      -46.4013      -82.2999       0.00000       0.00000      -399.333      0.227700      0.500000      0.941990E-01   20.0295      -31.9690       0.00000       0.00000       0.00000       0.00000    
       30  0.208333       17.1670       17.1670       17.1670      0.109339      0.377354E-02  0.284030E-02  -197.899      -45.9013      -82.7080       0.00000       0.00000      -398.757      0.227700      0.500000      0.952402E-01   20.0244      -32.7621       0.00000       0.00000       0.00000       0.00000    
       31  0.215278       17.0634       17.0634       17.0634      0.584429E-01  0.201740E-02  0.261311E-02  -155.327      -30.7283      -56.0566       0.00000       0.00000      -398.188      0.227700      0.500000      0.963412E-01   20.0190      -33.5009       0.00000       0.00000       0.00000       0.00000    
       32  0.222222       16.9870       16.9870       16.9870      0.347150E-01  0.119851E-02  0.260512E-02  -154.812      -30.7228      -55.7923       0.00000       0.00000      -397.769      0.227700      0.500000      0.981346E-01   20.0102      -33.6414       0.00000       0.00000       0.00000       0.00000    
