par_id,rmse,nse,r,bias,mae,nmae
p01,4.2049470527718,0.555069742656367,0.959714190774876,-3.59396596721818,3.61144925593575,0.420304045875616
p02,5.33787119049512,0.283019974943842,0.940035445816557,-4.68079400799138,4.73246922453411,0.577305350859117
p03,5.40066690493684,0.266051373643138,0.954676032368855,-4.88464614058639,4.88471757943214,0.591540071484886
p04,5.15726988955217,0.330715763430425,0.945876333042045,-4.35625122493747,4.36153031119319,0.478432350319632
p05,4.26190606440547,0.542934307672031,0.96903024852989,-3.87265175912233,3.87300640227566,0.49275255865502
p06,5.01421153781015,0.367331544679857,0.944486896000516,-4.32244345207964,4.33584880315148,0.490515475295711
p07,4.42692594484941,0.506854140077983,0.902487899477489,-3.47862685444626,3.82177608776599,0.523010480320464
p08,4.43693006406166,0.504622765770747,0.837156920142009,-1.90711408668703,3.96453492105932,0.498270819915585
p09,4.5253299770059,0.484686663373669,0.966663851897189,-4.02545421618512,4.03091602398185,0.486747668929151
p10,3.48457212212852,0.694458790821635,0.97500100381861,-3.14993661100498,3.17016209672244,0.425423697929945
