par_id,rmse,nse,r,bias,mae,nmae
p001,3.66595387348507,0.678600128742841,0.964516494768132,-3.24326858200652,3.33565383204758,0.517107375698753
p002,4.3864831931086,0.539844470152896,0.971697270434892,-4.1108781948688,4.11291095751216,0.610457961819774
p003,3.56846579672637,0.695466703962701,0.967468961056605,-3.16779197680511,3.25166168346048,0.51090001114934
p004,3.71991648465897,0.669068517017928,0.976446191343643,-3.42752593374697,3.43526965310387,0.543052063524287
p005,2.89057052464718,0.800180050100326,0.976423501924678,-2.45032208352954,2.58279116053285,0.453649289027888
p006,4.1329069228452,0.591508564587811,0.97150980246849,-3.83732693226401,3.83922518122677,0.575730068287001
p007,3.07075289148543,0.774492263926401,0.976492660257811,-2.67980810985216,2.76659856375155,0.471495077414968
p008,3.79746305061504,0.655127297878418,0.966430644148433,-3.41437871871944,3.47238760512998,0.530326806587847
p009,3.1042394348161,0.769547125559349,0.977706065049982,-2.72889125558038,2.79580139818777,0.475984969760133
p010,3.09172495588278,0.771401482741755,0.978619091309392,-2.71669025417963,2.77834300219797,0.475815681789286
p011,3.81239282939864,0.652410223602458,0.965105299016743,-3.41561411548694,3.48138662015111,0.530243453787742
p012,3.25487542568943,0.746638600734192,0.97681487617734,-2.90328257549539,2.95042667814045,0.49047564967858
p013,3.35111580853971,0.731434279345523,0.970744097241189,-2.95532486134062,3.04634080452599,0.49401623126649
p014,3.24496120503114,0.74817970750249,0.971430493357501,-2.83788952960406,2.94178939536135,0.48477984299943
p015,3.55585395850084,0.69761549162003,0.978285810485759,-3.25272486905578,3.267601055494,0.529962935141592
p016,3.35712513262105,0.730470215080934,0.969506801066762,-2.94757547645429,3.04888429403526,0.493570497611781
p017,3.18631439252268,0.757199846702097,0.980770738017582,-2.81858696158085,2.87222898247212,0.493601259580825
p018,3.40607898693142,0.722552295397187,0.979738939782246,-3.07964979881963,3.10725775415271,0.517380658849673
p019,3.75521928900085,0.662757490614701,0.977319272463489,-3.46893117004236,3.47792229051472,0.55182723104112
p020,3.95448473772797,0.626017299292802,0.974698562640228,-3.67240569768273,3.6759168231284,0.565694685222077
p021,3.88543889258392,0.638962866632699,0.976454477346399,-3.60661380416273,3.61306019850321,0.565240413713417
p022,4.0163362159804,0.614226999620695,0.967064891562605,-3.66358787539527,3.68721771455406,0.551943818599499
p023,3.78280203077501,0.657785085538449,0.975746628501843,-3.49227760456263,3.49826872444766,0.548177804753278
p024,3.74283268431719,0.664978612697154,0.971260781155358,-3.40753252754882,3.43263442020313,0.531442587422891
p025,3.66569704743496,0.678645159843011,0.966585446918184,-3.26795058146335,3.34397697824873,0.518658895629919
p026,4.0183443051831,0.613841145342505,0.966803332001696,-3.66288280856297,3.68816403290346,0.551727073186528
p027,4.07819820856867,0.602251669755349,0.973792072348314,-3.7991727922915,3.80171143333313,0.57779741295259
p028,3.64863014695394,0.681630547590288,0.968190769394868,-3.2675799268057,3.33290074465379,0.518657372981344
p029,3.21543440415725,0.752741622771165,0.972006080222667,-2.80932707556361,2.9133446151279,0.482450756553092
p030,3.52958957083103,0.70206596315073,0.97279406389392,-3.18415263690807,3.22534640313007,0.512530643802115
p031,2.93331848101914,0.794226169062024,0.982010239793919,-2.44216472744634,2.57070552220899,0.466428339309535
p032,3.37292823785825,0.727926709783148,0.977163297017147,-3.0416323955633,3.06938876327241,0.503935799512022
p033,3.00267147046318,0.784380844240756,0.97519250871017,-2.58289676649992,2.70031849301254,0.46419802604518
p034,3.79787105899267,0.655053186025867,0.967610834698218,-3.42844024677605,3.47733186225245,0.531707150904686
p035,3.22593174916172,0.751124551491146,0.973543042244081,-2.83886798506395,2.92547955420657,0.484580729089856
p036,4.0902594888322,0.599895507581562,0.970021111048167,-3.77601962527985,3.78041531977758,0.566300596139291
p037,4.90455101666767,0.424731996927243,0.964687638305042,-4.59462260161869,4.59516541365854,0.651408192593767
p038,3.01112113679745,0.783165610798273,0.98101116040502,-2.60551846608258,2.68522771124592,0.472406558737832
p039,3.2594161285124,0.74593120574779,0.980443892911439,-2.90765808833589,2.95070833902875,0.501507519187408
p040,3.94106601547841,0.628551058263343,0.963445177983618,-3.53962650351311,3.59940530815581,0.54017206042061
p041,3.69599092226302,0.673311762523471,0.978146945035149,-3.39827777889537,3.41242813025632,0.549366148132372
p042,4.05219841988867,0.607307043361708,0.975132473727166,-3.77901282663756,3.78352263515824,0.581496672475003
p043,3.11715954939684,0.767624803608245,0.972187591112216,-2.69227424655355,2.81442240542675,0.473427759216977
p044,3.36379648940399,0.729397919036036,0.969227923560665,-2.95200285734948,3.05461904992547,0.493965794772776
p045,3.46507897068332,0.712857167769419,0.971904461098265,-3.10084204415268,3.16116648472831,0.505466598202076
p046,4.33971612667392,0.549604181282483,0.968113045003509,-4.02546341953714,4.02732067217466,0.589802396269974
p047,2.92576520243642,0.795284537572414,0.972888507983356,-2.45937769674871,2.61911453400954,0.455660638845539
p048,4.14519801629043,0.589075278606345,0.96301710474351,-3.75935389001025,3.79564327992584,0.558696191502123
p049,3.21574806512297,0.752693381025673,0.974833124521667,-2.84021073793625,2.91500943357941,0.484428614160376
p050,4.51032879933765,0.513494099858827,0.970014121498711,-4.22764293341487,4.22893566490868,0.619325990623632
p051,3.38868029253624,0.725379533865686,0.973556062683377,-3.0305639300439,3.08726407456209,0.499767983045961
p052,3.80336365629551,0.654054719272335,0.968343869802287,-3.44288535875094,3.48500686925409,0.533126653088274
p053,3.79051312778901,0.656388479539337,0.977452541953888,-3.50323629831254,3.51342806987623,0.558253384626088
