par_id,rmse,nse,r,bias,mae,nmae
p001,3.59302931780639,0.683544964068007,0.974685653831817,-3.28964919156632,3.335762954546,0.518959205903699
p002,3.203498584175,0.748441172286437,0.976968213785948,-2.86586474197525,2.93862102004525,0.48533775326557
p003,3.59516384878813,0.683168855963809,0.979312052192834,-3.33492075125057,3.34101799936402,0.527524869911065
p004,3.38395570211918,0.719301670582259,0.978077210696718,-3.08659266456214,3.1252590968141,0.503509455467902
p005,2.98257937054905,0.78194075263392,0.984532958581032,-2.51364172937234,2.61240038894633,0.476452009197358
p006,3.51098603539134,0.697831844439075,0.983877431352799,-3.23737221674634,3.25236826660685,0.536908910714029
p007,3.32814913207042,0.728483612715151,0.983347727323208,-3.04761466264383,3.06230082958427,0.510692180276192
p008,3.77176564893501,0.651277562847785,0.979775568838377,-3.53500811409489,3.53710873175583,0.548054408222961
p009,2.83724562504732,0.802673978605616,0.976156927035033,-2.40356423127927,2.54787998020137,0.451474730980576
p010,3.11124312764436,0.762721498991069,0.984463202388094,-2.77075858957875,2.80775340920335,0.489758358019882
p011,2.99104691463522,0.780700854503306,0.980956457218507,-2.63638568748684,2.69859989424184,0.467371292512651
p012,3.36703073843353,0.722102492334553,0.971985179135695,-3.00242579785299,3.09999322848387,0.497108076138022
p013,3.03751460059341,0.7738340413265,0.983399829693541,-2.69011405961839,2.73206525966953,0.477654610537608
p014,3.26292339932748,0.739021791127333,0.982132031105267,-2.96946764699752,2.98830160657023,0.499368352667675
p015,2.86538000733286,0.798741170687839,0.980669738894585,-2.47316744816065,2.56441961186064,0.45473284746488
p016,2.92127600337131,0.790812527837429,0.981658196316199,-2.5474852955307,2.61555841821786,0.460762775277734
p017,3.90792639052717,0.625645343998964,0.982146832505614,-3.69055229121796,3.69624057032893,0.576032176325038
p018,3.51410320559081,0.697295056374657,0.97382431899052,-3.19167278517735,3.25367280358267,0.510828591784684
p019,2.79822929832758,0.808063713331009,0.977368196937356,-2.36345132235134,2.50619606569966,0.448076937973553
p020,4.7384953800535,0.449608887455986,0.974727942841962,-4.51793838886469,4.51794496601598,0.645832605592644
p021,3.12838820579422,0.760099159659929,0.981817148589201,-2.80715537858331,2.84110717345256,0.483475616394466
p022,3.16084085472368,0.755096072676658,0.978977774142222,-2.83305306683233,2.88944081733666,0.482665074960705
