"datetime","Shortwave_Radiation_Downwelling_wattPerMeterSquared","Air_Temperature_celsius","Relative_Humidity_percent","Dewpoint_Temperature_celsius","Ten_Meter_Elevation_Wind_Speed_meterPerSecond","Ten_Meter_Elevation_Wind_Direction_degree","Rainfall_millimeterPerHour","Surface_Level_Barometric_Pressure_pascal"
2020-06-02 02:00:00,0,8.91,90.8118333333333,7.4885,3.455,284.814166666667,0,99375.0333333333
2020-06-02 03:00:00,0,8.45016666666667,91.7801666666667,7.1865,2.599,279.678,0,99360.7833333333
2020-06-02 04:00:00,0.715,7.99166666666667,93.5758333333333,7.01933333333333,2.83433333333333,289.998666666667,0,99346.75
2020-06-02 05:00:00,11.9426666666667,8.00166666666667,94.3091666666667,7.14216666666667,2.2795,277.825166666667,0,99357.25
2020-06-02 06:00:00,24.6706666666667,8.80416666666667,93.6473333333333,7.83716666666667,1.98116666666667,272.691166666667,0,99345.4666666667
2020-06-02 07:00:00,45.5138333333333,11.3048333333333,90.0611666666667,9.72716666666667,1.2725,256.574166666667,0,99329.9
2020-06-02 08:00:00,357.995666666667,17.3585,69.8595,11.693,1.55016666666667,208.395333333333,0,99301.6
2020-06-02 09:00:00,674.287333333333,22.6691666666667,51.3158333333333,12.0768333333333,5.31616666666667,200.194,0,99271.9166666667
2020-06-02 10:00:00,770.897,24.9598333333333,43.8998333333333,11.7781666666667,5.02216666666667,199.9865,0,99243.8
2020-06-02 11:00:00,873.3225,26.1205,38.359,10.8323333333333,7.77916666666667,195.300833333333,0,99220.1666666667
2020-06-02 12:00:00,886.541166666667,26.8501666666667,35.7066666666667,10.3816666666667,7.49016666666667,201.003166666667,0,99166
2020-06-02 13:00:00,853.0435,27.4126666666667,32.79,9.62066666666667,7.55716666666667,197.234333333333,0,99115
2020-06-02 14:00:00,795.346333333333,27.8471666666667,30.7728333333333,9.04283333333333,6.99133333333333,193.477166666667,0,99044.3166666667
2020-06-02 15:00:00,675.330166666667,28.0235,32.0243333333333,9.807,3.94966666666667,226.330333333333,0,98971.95
2020-06-02 16:00:00,526.837,26.8918333333333,38.5678333333333,11.5715,0.798833333333333,235.236833333333,0,98908.2833333333
2020-06-02 17:00:00,96.4995,21.9113333333333,52.137,11.4238333333333,0.1465,238.8805,0,98859.2
