time,30 cm,25 cm,20 cm,15 cm,10 cm,5 cm,air
21/07/2020 10:35,18.3861720478953,18.6318839144027,18.6424169917883,18.6829733510183,18.6740041986209,18.8534365954265,21.1483636470433
21/07/2020 10:45,18.492482955731,18.8042267174227,18.8155655563342,18.8806267535094,19.009022251361,19.4329170413009,21.4835921657468
21/07/2020 10:55,18.5863310851529,19.0466372810335,19.1009852342545,19.1012114791924,19.1216669645678,19.6586884159972,22.2476400991293
21/07/2020 11:05,18.6821772466774,19.1924428167739,19.2337489563778,19.2544564919759,19.3445215385634,19.9280429898977,22.5664276871643
21/07/2020 11:15,18.7897243603828,19.3423265160819,19.3779261084429,19.4157406151674,19.5408159200542,20.0867542852176,21.6347400570736
21/07/2020 11:25,18.904561000452,19.454346729664,19.4965602107297,19.5189675086345,19.6258844546451,20.0967632296643,22.2005970665072
21/07/2020 11:35,19.1184394438733,19.7514756307374,19.8010149555732,19.8327671268391,19.9115436890591,20.1700202095989,23.5903861662615
21/07/2020 11:45,19.2339267312905,19.9190859921461,19.9333039813668,20.0213178633537,20.1770837119046,20.5918924219861,24.146520713921
21/07/2020 11:55,19.4101332412923,20.0986856419194,20.1490711162054,20.2005018788743,20.3685115344543,20.8150860215145,24.0603133597133
21/07/2020 12:05,19.5836808569111,20.3066572709915,20.3506863912244,20.4031978649551,20.7841585662902,21.3188051631762,24.4267676313143
21/07/2020 12:15,19.7567147894284,20.532201723688,20.5794030933749,20.6390894482261,21.0808467909864,21.6308905701235,23.5102178258275
21/07/2020 12:25,19.92594386743,20.7253976243344,20.7811479916923,20.8510365750498,21.3039317211515,21.8128067727369,25.4523201996924
21/07/2020 12:35,20.1036073059053,20.9574608244961,21.0104288997888,21.0678884272871,21.3915438233558,22.1347010492003,25.927313508851
21/07/2020 12:45,20.2872111989713,21.1767811888186,21.2362242647953,21.3116094237612,21.5667357797124,22.6016633990472,27.5304941449868
21/07/2020 12:55,20.4750998761902,21.4176714455141,21.4622262874698,21.5338539854322,21.8426946759583,22.9011804092913,26.9561216718951
21/07/2020 13:05,20.6997805179001,21.633245568792,21.7090001651729,21.7890808767168,22.0757769362785,23.2346173509866,26.1869757823616
21/07/2020 13:15,20.8910104750092,21.881724039908,21.9579751863801,22.0975588508194,22.607868339826,23.4407058365345,27.1280925645806
21/07/2020 13:25,21.1325242089034,22.1211730607212,22.2287342643953,22.391655657386,23.1660668189613,23.5859819144796,27.3143015197698
21/07/2020 13:35,21.4030806591208,22.3714233586582,22.4518076306127,22.6086100119565,23.1639514936091,23.8759546553413,26.9932815077116
21/07/2020 13:45,21.6336020569655,22.627623049133,22.7004290113607,22.8642696353865,23.3613841338241,23.9763454924044,27.2098187446026
21/07/2020 13:55,21.8136165664679,22.8097765125063,22.8914568987159,23.0619813194422,23.6020601477022,24.3053155835656,26.0701358767089
