Depth [m]	U [m/s]	V [m/s]	T [deg C]	k [J/kg]	eps [W/kg]
0	0	0	15.74	3e-06	5e-10
-0.3	0	0	15.74	3e-06	5e-10
-0.25	0	0	6.548	3e-06	5e-10
-0.2	0	0	20.14	3e-06	5e-10
-0.15	0	0	7.742	3e-06	5e-10
-0.1	0	0	9.441	3e-06	5e-10
-0.05	0	0	18.76	3e-06	5e-10
